Date/Time,Media Description,Media Link
"You uploaded a feed document on April 18, 2026 at 8:17 AM (GMT)","11 promises every Engineering Manager should make (and actually keep):

After 9+ years of leading engineers, here are the promises I make to everyone who joins my team:

1. I won?t cancel our 1:1s. 
Even when things are chaotic.

2. I?ll care about your life, not just your output. 
That means asking about your family, your hobbies, and your energy.

3. When it?s time to move on, I?ll not hold you back. 
Even if it'll be a big headache for me :) 

4. I?ll always want to hear what?s broken - and how you?d fix it. 

5. You?ll never be shut down for asking ?why.? 
Good questions are part of the job.

6. You won?t just build things - you?ll know why they matter. 
We connect our work to real outcomes.

7. You won?t need to guess what matters. 
And what is expected of you. I?ll make priorities and expectations clear.

8. I?ll openly share my own mistakes. 
So you know it?s safe to take risks.

9. You?ll get the credit. 
I'll work hard to ensure your impact is also noticed outside our team.

10. You?ll talk to customers and stakeholders. 
I?ll help you grow beyond just writing code.

11. You?ll get real ownership. 
And I?ll back your decisions when needed.

What promise did I miss?

P.S.: Create the carousel in 5 minutes using this awesome skill by Yonathan Levy (pure html, no Canva):
https://lnkd.in/dX5HQW3B
",https://media.licdn.com/dms/document/media/v2/D4D1FAQHOu9KArWeUZQ/feedshare-document-chunked-pdf/B4DZ2fqrSSKABk-/0/1776500259051?e=1777636800&v=beta&t=AHVdR8TTr0mXOyweX9tSICov4ponhgCCqf01_S8WAmk
"You uploaded a video on February 5, 2026 at 12:28 PM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4D05AQGa75GBVqaCMg/BAQJh918Q-Q?e=1777636800&v=beta&t=uv8X-T_8hLruOYe_NBeUd7UN8MG8nT9xZQUNXgmE4X8
"You uploaded a video on January 30, 2026 at 6:23 PM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4E05AQHBA-grJyWAmg/BAgf9JdAUaAyVs?e=1777636800&v=beta&t=z27zfO0Jcka43DEcyPDUBc-gU0cWnI3thWnxoniJgz0
"You uploaded a video on October 16, 2025 at 10:54 AM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4D05AQFfvfbmD-n03A/BAgAKWnczHFMekwC30Q?e=1777636800&v=beta&t=kOLmHjnMxi3dpvSA0p5P6ctdNcuAD-KH_r4-imVx-50
"You uploaded a photo on March 23, 2025 at 9:53 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D4D21AQEGK6SHyU4sNQ/plfm-displayapplogo-shrink_800_800/B4DZXCbC5ZHwAY-/0/1742723624960?e=1777636800&v=beta&t=2Oau77zUB2E6dYTh-Ap-YvYdzq8tYZi2qRS7T0yBWpk
"You uploaded a feed photo on March 20, 2025 at 11:06 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E22AQEJPZYx2MQhFw/feedshare-shrink_160/B4EZWzO1.fHgAg-/0/1742468768245?e=1778716800&v=beta&t=hO7q4M8z1qUrlhOnSBU-7RLyf5rxEOb6_jw8pmJNAKs
"You uploaded a feed photo on March 20, 2025 at 10:47 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E22AQEN_dvXkIOcLA/feedshare-shrink_480/B4EZWzKkAhHMAo-/0/1742467647484?e=1778716800&v=beta&t=5_6Op-cfAdh6Nt8Xxb0YgbrjzQWzXobq5mR752DfsQs
"You uploaded a feed photo on March 16, 2025 at 9:21 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D4D22AQGJTCOfLcc00A/feedshare-shrink_1280/B4DZWeQlasHAAk-/0/1742116903006?e=1778716800&v=beta&t=ugw3uqg7NqmTfW3dZTjVGCUEcSuW7Gbg7Nk5ByDv5wc
"You uploaded a feed photo on March 13, 2025 at 11:53 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D4D22AQETIBkTHKNqCQ/feedshare-shrink_2048_1536/B4DZWPWnyxG4Ao-/0/1741866829143?e=1778716800&v=beta&t=YHei1i4mQfF2m8wkPBy_smAYBLvLzGhwhhg_NL-BUe0
"You uploaded a feed photo on March 13, 2025 at 11:50 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D4D22AQG5Ggzmw38T3w/feedshare-shrink_160/B4DZWPV9tvGcAk-/0/1741866656857?e=1778716800&v=beta&t=aYL55R-tUlwgb-VwejnwhlMX1N_JZthRNT6K2u3OEDI
"You uploaded a feed photo on March 7, 2025 at 1:18 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4D22AQGDmSbty1jO-A/feedshare-shrink_160/B4DZVwwXv3HwAg-/0/1741353483730?e=1778716800&v=beta&t=Q0fRCif401dd3C5ZPjfclJDRRdB-0Pni73sEMOE7zLY
"You uploaded a feed document on March 7, 2025 at 1:13 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D4D1FAQE3lJCdpMTGMA/feedshare-document-url-metadata-scrapper-pdf/B4DZVwvS2rHAA0-/0/1741353213503?e=1777636800&v=beta&t=shusFwoPE4GvATxe0QQH8iQuEIbBzd_R0cY8JvPML-M
"You uploaded a feed photo on March 7, 2025 at 11:44 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D4D22AQFIbR2ab7GPBw/feedshare-shrink_1280/B4DZVwa7X1GcAk-/0/1741347865654?e=1778716800&v=beta&t=pvk4L_AMgAa4HQvtEwaelFilMsiD-BbjIHPQMdCzgEc
"You uploaded a feed photo on March 7, 2025 at 8:59 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D4D22AQGnKFD5nvQHHg/feedshare-shrink_1280/B4DZVv1Ix8HIAk-/0/1741337956955?e=1778716800&v=beta&t=lO5KenM8hmX9I6IOKajM-Uz6gSGs41CM08pW5EuukL4
"You uploaded a feed photo on March 6, 2025 at 10:14 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D4D22AQGXLGRyRq9SNg/feedshare-shrink_1280/B4DZVq801gHkAk-/0/1741256085337?e=1778716800&v=beta&t=GYxJsY-1z8F4Yx3AAqihegoRQY8XZmDbhwp_OHNG9E4
